2023-10-17 12:22:04.098 +06:00 [INF] Application Starting up
2023-10-17 12:22:05.104 +06:00 [INF] Worker running at: "2023-10-17T12:22:05.1008460+06:00"
2023-10-17 12:22:05.107 +06:00 [INF] queue empty : "2023-10-17T12:22:05.1073254+06:00"
2023-10-17 12:22:15.106 +06:00 [INF] Worker running at: "2023-10-17T12:22:15.1065071+06:00"
2023-10-17 12:22:15.106 +06:00 [INF] queue empty : "2023-10-17T12:22:15.1069207+06:00"
2023-10-17 12:22:25.109 +06:00 [INF] Worker running at: "2023-10-17T12:22:25.1095133+06:00"
2023-10-17 12:22:25.109 +06:00 [INF] queue empty : "2023-10-17T12:22:25.1098886+06:00"
2023-10-17 12:22:35.115 +06:00 [INF] Worker running at: "2023-10-17T12:22:35.1150684+06:00"
2023-10-17 12:22:35.117 +06:00 [INF] queue empty : "2023-10-17T12:22:35.1169709+06:00"
2023-10-17 12:22:45.128 +06:00 [INF] Worker running at: "2023-10-17T12:22:45.1283785+06:00"
2023-10-17 12:22:45.128 +06:00 [INF] queue empty : "2023-10-17T12:22:45.1285812+06:00"
2023-10-17 12:22:55.135 +06:00 [INF] Worker running at: "2023-10-17T12:22:55.1352015+06:00"
2023-10-17 12:22:55.135 +06:00 [INF] queue empty : "2023-10-17T12:22:55.1355277+06:00"
2023-10-17 12:23:02.939 +06:00 [INF] Application Starting up
2023-10-17 12:23:03.123 +06:00 [INF] Worker running at: "2023-10-17T12:23:03.1207433+06:00"
2023-10-17 12:23:03.125 +06:00 [INF] queue empty : "2023-10-17T12:23:03.1254202+06:00"
2023-10-17 12:23:13.129 +06:00 [INF] Worker running at: "2023-10-17T12:23:13.1295349+06:00"
2023-10-17 12:23:13.129 +06:00 [INF] queue empty : "2023-10-17T12:23:13.1298389+06:00"
2023-10-17 12:23:23.129 +06:00 [INF] Worker running at: "2023-10-17T12:23:23.1292526+06:00"
2023-10-17 12:23:23.129 +06:00 [INF] queue empty : "2023-10-17T12:23:23.1295161+06:00"
2023-10-17 12:23:33.129 +06:00 [INF] Worker running at: "2023-10-17T12:23:33.1295877+06:00"
2023-10-17 12:23:33.130 +06:00 [INF] queue empty : "2023-10-17T12:23:33.1301049+06:00"
2023-10-17 12:23:43.137 +06:00 [INF] Worker running at: "2023-10-17T12:23:43.1372340+06:00"
2023-10-17 12:23:43.137 +06:00 [INF] queue empty : "2023-10-17T12:23:43.1374402+06:00"
2023-10-17 12:23:53.138 +06:00 [INF] Worker running at: "2023-10-17T12:23:53.1384605+06:00"
2023-10-17 12:23:53.138 +06:00 [INF] queue empty : "2023-10-17T12:23:53.1388065+06:00"
2023-10-17 12:24:03.146 +06:00 [INF] Worker running at: "2023-10-17T12:24:03.1457273+06:00"
2023-10-17 12:24:03.146 +06:00 [INF] queue empty : "2023-10-17T12:24:03.1468717+06:00"
2023-10-17 12:24:13.152 +06:00 [INF] Worker running at: "2023-10-17T12:24:13.1526425+06:00"
2023-10-17 12:24:13.152 +06:00 [INF] queue empty : "2023-10-17T12:24:13.1527951+06:00"
2023-10-17 12:24:23.167 +06:00 [INF] Worker running at: "2023-10-17T12:24:23.1673246+06:00"
2023-10-17 12:24:23.167 +06:00 [INF] queue empty : "2023-10-17T12:24:23.1676488+06:00"
2023-10-17 12:24:33.169 +06:00 [INF] Worker running at: "2023-10-17T12:24:33.1691829+06:00"
2023-10-17 12:24:33.169 +06:00 [INF] queue empty : "2023-10-17T12:24:33.1695199+06:00"
2023-10-17 12:24:43.180 +06:00 [INF] Worker running at: "2023-10-17T12:24:43.1800086+06:00"
2023-10-17 12:24:43.180 +06:00 [INF] queue empty : "2023-10-17T12:24:43.1802586+06:00"
2023-10-17 12:24:53.194 +06:00 [INF] Worker running at: "2023-10-17T12:24:53.1947441+06:00"
2023-10-17 12:24:53.195 +06:00 [INF] queue empty : "2023-10-17T12:24:53.1950340+06:00"
2023-10-17 12:25:03.201 +06:00 [INF] Worker running at: "2023-10-17T12:25:03.2008315+06:00"
2023-10-17 12:25:03.201 +06:00 [INF] queue empty : "2023-10-17T12:25:03.2011606+06:00"
2023-10-17 12:25:13.205 +06:00 [INF] Worker running at: "2023-10-17T12:25:13.2059292+06:00"
2023-10-17 12:25:13.206 +06:00 [INF] queue empty : "2023-10-17T12:25:13.2061822+06:00"
2023-10-17 12:25:23.210 +06:00 [INF] Worker running at: "2023-10-17T12:25:23.2101605+06:00"
2023-10-17 12:25:23.210 +06:00 [INF] queue empty : "2023-10-17T12:25:23.2105970+06:00"
2023-10-17 12:25:33.216 +06:00 [INF] Worker running at: "2023-10-17T12:25:33.2160175+06:00"
2023-10-17 12:25:33.216 +06:00 [INF] queue empty : "2023-10-17T12:25:33.2161661+06:00"
2023-10-17 12:25:43.224 +06:00 [INF] Worker running at: "2023-10-17T12:25:43.2241629+06:00"
2023-10-17 12:25:43.224 +06:00 [INF] queue empty : "2023-10-17T12:25:43.2243101+06:00"
2023-10-17 12:25:53.226 +06:00 [INF] Worker running at: "2023-10-17T12:25:53.2259763+06:00"
2023-10-17 12:25:53.226 +06:00 [INF] queue empty : "2023-10-17T12:25:53.2263752+06:00"
2023-10-17 12:26:03.236 +06:00 [INF] Worker running at: "2023-10-17T12:26:03.2361828+06:00"
2023-10-17 12:26:03.236 +06:00 [INF] queue empty : "2023-10-17T12:26:03.2362685+06:00"
2023-10-17 12:26:13.247 +06:00 [INF] Worker running at: "2023-10-17T12:26:13.2473598+06:00"
